net,length_um
mantisaAshift\[50\],17.16µm
_0755_,17.15µm
_1498_,17.15µm
mantisaBshift\[8\],17.14µm
net296,17.125µm
_0663_,17.06µm
mantisaB[16],17.01µm
_1039_,16.98µm
_1129_,16.93µm
_0457_,16.9µm
_1279_,16.86µm
_0878_,16.82µm
_1275_,16.82µm
net25,16.8µm
net335,16.8µm
mantisaAshift\[45\],16.78µm
_1274_,16.76µm
_0646_,16.72µm
mantisaBshift\[35\],16.72µm
net56,16.72µm
_0450_,16.58µm
_0636_,16.58µm
_1795_,16.58µm
_0882_,16.56µm
_1397_,16.56µm
_0365_,16.54µm
_1453_,16.535µm
_0352_,16.52µm
expmiddled\[7\],16.52µm
net338,16.5µm
_1520_,16.42µm
_1598_,16.4µm
net61,16.4µm
expmiddled\[1\],16.36µm
_0530_,16.32µm
_1604_,16.32µm
_0502_,16.24µm
_1768_,16.24µm
_0515_,16.18µm
mantisaBshift\[58\],16.18µm
_0643_,16.16µm
_1531_,16.15µm
net292,16.135µm
_0614_,16.1µm
mantisaBshift\[39\],16.08µm
mantisaBshift\[50\],16.06µm
_1224_,16.04µm
_0400_,16.02µm
_1567_,16.02µm
mantisaAshift\[46\],16µm
_1574_,15.94µm
four_man\[41\],15.94µm
_1769_,15.84µm
_1316_,15.82µm
_1250_,15.8µm
mantisaBshift\[41\],15.78µm
_1544_,15.76µm
net306,15.725µm
_0405_,15.72µm
_1117_,15.66µm
_1156_,15.66µm
_1588_,15.64µm
_1292_,15.63µm
_1554_,15.62µm
_1905_,15.6µm
net290,15.595µm
_0800_,15.58µm
_0993_,15.46µm
_1868_,15.46µm
_1812_,15.42µm
net300,15.385µm
_0753_,15.36µm
_1747_,15.36µm
_1893_,15.34µm
mantisaB0\[1\],15.32µm
_1787_,15.26µm
_1556_,15.24µm
net337,15.24µm
_0253_,15.225µm
_0758_,15.2µm
_0296_,15.16µm
_1365_,15.14µm
_1058_,15.1µm
_1144_,15.1µm
_1357_,15.1µm
_0844_,15.08µm
mantisaAshift\[47\],15.08µm
_0388_,14.98µm
mantisaBshift\[34\],14.94µm
net67,14.94µm
_1507_,14.92µm
_0974_,14.88µm
_0671_,14.84µm
_0740_,14.84µm
_1770_,14.82µm
expmiddled\[2\],14.78µm
mantisaBshift\[2\],14.75µm
_1220_,14.74µm
_0969_,14.72µm
_0975_,14.72µm
_0711_,14.65µm
_1522_,14.64µm
_0362_,14.62µm
_1511_,14.6µm
_1090_,14.56µm
_1327_,14.54µm
_0640_,14.5µm
_1475_,14.48µm
mantisaBshift\[38\],14.48µm
_0897_,14.46µm
_1524_,14.44µm
mantisaBshift\[18\],14.44µm
_1712_,14.42µm
_0947_,14.34µm
mantisaBshift\[45\],14.34µm
_0340_,14.33µm
_1566_,14.3µm
mantisaBshift\[52\],14.3µm
clknet_leaf_19_clk,14.3µm
_1119_,14.26µm
_1205_,14.24µm
_1650_,14.235µm
_1184_,14.22µm
_1460_,14.22µm
_1615_,14.22µm
_0701_,14.195µm
_1580_,14.18µm
_1764_,14.145µm
_0624_,14.1µm
_0791_,14.08µm
_0447_,14.05µm
_0375_,14.02µm
mantisaB[10],13.99µm
_0789_,13.96µm
_0813_,13.94µm
mantisaB0\[5\],13.92µm
_0566_,13.9µm
_0997_,13.88µm
_1691_,13.88µm
_0673_,13.86µm
_1166_,13.84µm
mantisaB[17],13.83µm
_0608_,13.8µm
_1449_,13.8µm
_0212_,13.765µm
_0639_,13.72µm
_0864_,13.72µm
clknet_leaf_13_clk,13.72µm
_1077_,13.68µm
expmiddlea\[7\],13.68µm
